Breed,FCI Group,Region,Size Class,Notes
Mixed Breed / Unknown,N/A,Global,Unknown,For rescues or uncertain lineage
German Shepherd Dog,Group 1 - Sheepdogs and Cattle Dogs,Europe,Large,
Belgian Malinois,Group 1 - Sheepdogs and Cattle Dogs,Europe,Large,
Belgian Tervuren,Group 1 - Sheepdogs and Cattle Dogs,Europe,Large,
Belgian Groenendael,Group 1 - Sheepdogs and Cattle Dogs,Europe,Large,
Belgian Laekenois,Group 1 - Sheepdogs and Cattle Dogs,Europe,Large,
Border Collie,Group 1 - Sheepdogs and Cattle Dogs,Europe,Medium,
Rough Collie,Group 1 - Sheepdogs and Cattle Dogs,Europe,Large,
Smooth Collie,Group 1 - Sheepdogs and Cattle Dogs,Europe,Large,
Shetland Sheepdog,Group 1 - Sheepdogs and Cattle Dogs,Europe,Small,
Old English Sheepdog,Group 1 - Sheepdogs and Cattle Dogs,Europe,Large,
Australian Shepherd,Group 1 - Sheepdogs and Cattle Dogs,Oceania,Medium,
Miniature American Shepherd,Group 1 - Sheepdogs and Cattle Dogs,North America,Small,
Australian Cattle Dog,Group 1 - Sheepdogs and Cattle Dogs,Oceania,Medium,
Cardigan Welsh Corgi,Group 1 - Sheepdogs and Cattle Dogs,Europe,Small,
Pembroke Welsh Corgi,Group 1 - Sheepdogs and Cattle Dogs,Europe,Small,
Dutch Shepherd,Group 1 - Sheepdogs and Cattle Dogs,Europe,Large,
White Swiss Shepherd Dog,Group 1 - Sheepdogs and Cattle Dogs,Europe,Large,
Briard,Group 1 - Sheepdogs and Cattle Dogs,Europe,Large,
Bearded Collie,Group 1 - Sheepdogs and Cattle Dogs,Europe,Medium,
Puli,Group 1 - Sheepdogs and Cattle Dogs,Europe,Medium,
Pumi,Group 1 - Sheepdogs and Cattle Dogs,Europe,Medium,
Mudi,Group 1 - Sheepdogs and Cattle Dogs,Europe,Medium,
Doberman Pinscher,Group 2 - Pinscher and Schnauzer,Europe,Large,
Miniature Pinscher,Group 2 - Pinscher and Schnauzer,Europe,Small,
German Pinscher,Group 2 - Pinscher and Schnauzer,Europe,Medium,
Schnauzer - Giant,Group 2 - Pinscher and Schnauzer,Europe,Large,
Schnauzer - Standard,Group 2 - Pinscher and Schnauzer,Europe,Medium,
Schnauzer - Miniature,Group 2 - Pinscher and Schnauzer,Europe,Small,
Rottweiler,Group 2 - Molossoid and related,Europe,Large,
Boxer,Group 2 - Molossoid and related,Europe,Large,
Cane Corso,Group 2 - Molossoid and related,Europe,Large,
Bullmastiff,Group 2 - Molossoid and related,Europe,Giant,
Mastiff - English,Group 2 - Molossoid and related,Europe,Giant,
Neapolitan Mastiff,Group 2 - Molossoid and related,Europe,Giant,
Dogue de Bordeaux,Group 2 - Molossoid and related,Europe,Giant,
Great Dane,Group 2 - Molossoid and related,Europe,Giant,
Bernese Mountain Dog,Group 2 - Swiss Mountain Dogs,Europe,Giant,
Greater Swiss Mountain Dog,Group 2 - Swiss Mountain Dogs,Europe,Giant,
Saint Bernard,Group 2 - Swiss Mountain Dogs,Europe,Giant,
Newfoundland,Group 2 - Molossoid and related,Europe,Giant,
Leonberger,Group 2 - Molossoid and related,Europe,Giant,
Tibetan Mastiff,Group 2 - Molossoid and related,Asia,Giant,
Boerboel,Group 2 - Molossoid and related,Africa,Giant,
